2026-05-30 23:46:56.088 | INFO     | services.schedule_service:_wrap:30 - [Scheduler] 任务 中国政府采购网-中央公告-fetch_list:26 开始执行
2026-05-30 23:46:56.098 | INFO     | services.schedule_service:_wrap:30 - [Scheduler] 任务 中国政府采购网-中央公告-fetch_html:27 开始执行
2026-05-30 23:47:04.231 | INFO     | services.crawler_service:run:28 - >>> 执行爬取列表: target=中国政府采购网/地方公告
2026-05-30 23:47:04.240 | INFO     | services.crawler_service:run:28 - >>> 执行爬取列表: target=中国政府采购网/中央公告
2026-05-30 23:47:04.241 | INFO     | services.crawler_service:run:33 - >>> 执行爬取详情页HTML: target=中国政府采购网/中央公告
2026-05-30 23:47:04.244 | INFO     | services.crawler_service:run:33 - >>> 执行爬取详情页HTML: target=中国政府采购网/地方公告
2026-05-30 23:47:04.333 | INFO     | crawlers.ccgp_crawler:fetch_html:170 - [fetch_html] 没有待获取 HTML 的记录
2026-05-30 23:47:04.333 | INFO     | services.crawler_service:run:35 - [爬取结果] {'total': 0, 'success': 0, 'failed': 0}
2026-05-30 23:47:04.336 | INFO     | crawlers.ccgp_crawler:fetch_html:170 - [fetch_html] 没有待获取 HTML 的记录
2026-05-30 23:47:04.336 | INFO     | services.crawler_service:run:35 - [爬取结果] {'total': 0, 'success': 0, 'failed': 0}
2026-05-30 23:47:04.430 | INFO     | services.schedule_service:_wrap:44 - [Scheduler] 任务 中国政府采购网-中央公告-fetch_html:27 执行成功
2026-05-30 23:47:04.441 | INFO     | services.schedule_service:_wrap:44 - [Scheduler] 任务 中国政府采购网-地方公告-fetch_html:25 执行成功
2026-05-30 23:47:26.088 | INFO     | services.schedule_service:_wrap:30 - [Scheduler] 任务 中国政府采购网-中央公告-fetch_html:28 开始执行
2026-05-30 23:47:26.099 | INFO     | services.schedule_service:_wrap:30 - [Scheduler] 任务 中国政府采购网-地方公告-fetch_html:29 开始执行
2026-05-30 23:47:26.233 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第1页 获取 20 条，累计 0 条
2026-05-30 23:47:26.347 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第1页 获取 20 条，累计 20 条
2026-05-30 23:47:27.471 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第2页 获取 20 条，累计 40 条
2026-05-30 23:47:28.594 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第3页 获取 20 条，累计 60 条
2026-05-30 23:47:29.745 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第4页 获取 20 条，累计 80 条
2026-05-30 23:47:30.884 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第5页 获取 20 条，累计 100 条
2026-05-30 23:47:32.002 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第6页 获取 20 条，累计 120 条
2026-05-30 23:47:32.703 | INFO     | services.crawler_service:run:30 - [爬取结果] {'created': 0}
2026-05-30 23:47:32.708 | INFO     | services.crawler_service:run:33 - >>> 执行爬取详情页HTML: target=中国政府采购网/中央公告
2026-05-30 23:47:32.709 | INFO     | services.crawler_service:run:33 - >>> 执行爬取详情页HTML: target=中国政府采购网/地方公告
2026-05-30 23:47:32.793 | INFO     | services.schedule_service:_wrap:44 - [Scheduler] 任务 中国政府采购网-中央公告-fetch_list:26 执行成功
2026-05-30 23:47:32.799 | INFO     | crawlers.ccgp_crawler:fetch_html:170 - [fetch_html] 没有待获取 HTML 的记录
2026-05-30 23:47:32.799 | INFO     | services.crawler_service:run:35 - [爬取结果] {'total': 0, 'success': 0, 'failed': 0}
2026-05-30 23:47:32.807 | INFO     | crawlers.ccgp_crawler:fetch_html:170 - [fetch_html] 没有待获取 HTML 的记录
2026-05-30 23:47:32.807 | INFO     | services.crawler_service:run:35 - [爬取结果] {'total': 0, 'success': 0, 'failed': 0}
2026-05-30 23:47:32.896 | INFO     | services.schedule_service:_wrap:44 - [Scheduler] 任务 中国政府采购网-地方公告-fetch_html:29 执行成功
2026-05-30 23:47:32.904 | INFO     | services.schedule_service:_wrap:44 - [Scheduler] 任务 中国政府采购网-中央公告-fetch_html:28 执行成功
2026-05-30 23:47:33.276 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第7页 获取 20 条，累计 140 条
2026-05-30 23:47:34.404 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第8页 获取 20 条，累计 160 条
2026-05-30 23:47:35.519 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第9页 获取 20 条，累计 180 条
2026-05-30 23:47:36.662 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第10页 获取 20 条，累计 200 条
2026-05-30 23:47:37.665 | INFO     | crawlers.ccgp_crawler:fetch_list:153 - [fetch_list] 排除非招标公告 140 条，保留 60 条
